#This mapping was created following and expanding upon the SSSOM guidance: https://mapping-commons.github.io/sssom/spec/															
#dcterms:license: CC-0															
#version: 2.0															
#creator_id:															
orcid:0009-0004-7916-9833															
orcid:0000-0002-7654-6902															
#creator_name:															
Camila Babo															
Peter Wollard															
#curie_map:															
# - bcdm: https://github.com/DNAdiversity/BCDM/blob/main/field_definitions.tsv															
#  - MIXS: https://genomicsstandardsconsortium.github.io/mixs/															
# - MIXSversion: https://github.com/GenomicsStandardsConsortium/mixs/releases/tag/															
# - orcid: https://orcid.org/															
# - skos: http://www.w3.org/2004/02/skos/core															
# - semapv: https://w3id.org/semapv/vocab/															
subject_id	subject_label	subject_category	predicate_id	object_id	object_label	object_category	mapping_justification	creator_id	subject_source	subject_source_version	object_source	object_source_version	mapping_date	confidence	comment
bcdm:processid	bcdm:processid	https://github.com/DNAdiversity/BCDM/blob/main/field_definitions.tsv	notApplicable				semapv:ManualMappingCuration	orcid:0009-0004-7916-9833 | orcid:0000-0002-7654-6902	bcdm	14/09/2025	MIXS	MIXS:v6.3.0	2026-02-11		
bcdm:sampleid	bcdm:sampleid	https://github.com/DNAdiversity/BCDM/blob/main/field_definitions.tsv	skos:closeMatch	MIXS:0001107	MIXS:samp_name	MIxS Core	semapv:ManualMappingCuration	orcid:0009-0004-7916-9833 | orcid:0000-0002-7654-6902	bcdm	14/09/2025	MIXS	MIXS:v6.3.0	2026-02-11	0.8	Both terms have a close meaning, however the field description for the object (MIxS) details more specific recommendations 'concise, unique and consistent within your lab, and as informative as possible. INSDC requires every sample name from a single Submitter to be unique.'. Whereas, the subject, details that the identifier can be identical to Field or Museum ID. 
bcdm:fieldid	bcdm:fieldid	https://github.com/DNAdiversity/BCDM/blob/main/field_definitions.tsv	skos:closeMatch	MIXS:0001107	MIXS:samp_name	MIxS Core	semapv:ManualMappingCuration	orcid:0009-0004-7916-9833 | orcid:0000-0002-7654-6902	bcdm	14/09/2025	MIXS	MIXS:v6.3.0	2026-02-11	0.7	These terms are a close match when the subject 'fieldid' is used for initial portion of the description 'Specimen or sample identifier generated in the field'. If the subject is used as the latter part of the description 'lot number for a bulk collection event.', the subject would be a closer match to 'source_mat_id' for the object.
bcdm:fieldid	bcdm:fieldid	https://github.com/DNAdiversity/BCDM/blob/main/field_definitions.tsv	skos:closeMatch	MIXS:0000026	MIXS:source_mat_id	MIxS Core	semapv:ManualMappingCuration	orcid:0009-0004-7916-9833 | orcid:0000-0002-7654-6902	bcdm	14/09/2025	MIXS	MIXS:v6.3.0	2026-02-11	0.7	These terms are a close match when the subject 'fieldid' is used for the latter part of the description 'lot number for a bulk collection event.'. If the subject is used for the initial portion of the description 'Specimen or sample identifier generated in the field' it would be a closer match to 'samp_name' for the object.
bcdm:museumid	bcdm:museumid	https://github.com/DNAdiversity/BCDM/blob/main/field_definitions.tsv	skos:relatedMatch	MIXS:0000026	MIXS:source_mat_id	MIxS Core	semapv:ManualMappingCuration	orcid:0009-0004-7916-9833 | orcid:0000-0002-7654-6902	bcdm	14/09/2025	MIXS	MIXS:v6.3.0	2026-02-11	0.6	The subject can be related to source material identifiers as it can describe the original material collected that will derive sub-sample but it is less similar to the object than fieldid.
bcdm:record_id	bcdm:record_id	https://github.com/DNAdiversity/BCDM/blob/main/field_definitions.tsv	notApplicable				semapv:ManualMappingCuration	orcid:0009-0004-7916-9833 | orcid:0000-0002-7654-6902	bcdm	14/09/2025	MIXS	MIXS:v6.3.0	2026-02-11		
bcdm:specimenid	bcdm:specimenid	https://github.com/DNAdiversity/BCDM/blob/main/field_definitions.tsv	notApplicable				semapv:ManualMappingCuration	orcid:0009-0004-7916-9833 | orcid:0000-0002-7654-6902	bcdm	14/09/2025	MIXS	MIXS:v6.3.0	2026-02-11		
bcdm:specimenid	bcdm:specimenid	https://github.com/DNAdiversity/BCDM/blob/main/field_definitions.tsv	skos:relatedMatch	MIXS:0001107	MIXS:samp_name	MIxS Core	semapv:ManualMappingCuration	orcid:0009-0004-7916-9833 | orcid:0000-0002-7654-6902	bcdm	14/09/2025	MIXS	MIXS:v6.3.0	2026-02-11	0.7	Semantically, these terms may have a somewhat related meaning but the expected syntax may be different.
bcdm:processid_minted_date	bcdm:processid_minted_date	https://github.com/DNAdiversity/BCDM/blob/main/field_definitions.tsv	notApplicable				semapv:ManualMappingCuration	orcid:0009-0004-7916-9833 | orcid:0000-0002-7654-6902	bcdm	14/09/2025	MIXS	MIXS:v6.3.0	2026-02-11		NA
bcdm:bin_uri	bcdm:bin_uri	https://github.com/DNAdiversity/BCDM/blob/main/field_definitions.tsv	notApplicable				semapv:ManualMappingCuration	orcid:0009-0004-7916-9833 | orcid:0000-0002-7654-6902	bcdm	14/09/2025	MIXS	MIXS:v6.3.0	2026-02-11		NA
bcdm:bin_created_date	bcdm:bin_created_date	https://github.com/DNAdiversity/BCDM/blob/main/field_definitions.tsv	notApplicable				semapv:ManualMappingCuration	orcid:0009-0004-7916-9833 | orcid:0000-0002-7654-6902	bcdm	14/09/2025	MIXS	MIXS:v6.3.0	2026-02-11		NA
bcdm:collection_code	bcdm:collection_code	https://github.com/DNAdiversity/BCDM/blob/main/field_definitions.tsv	skos:relatedMatch	MIXS:0000026	MIXS:source_mat_id	MIxS Core	semapv:ManualMappingCuration	orcid:0009-0004-7916-9833 | orcid:0000-0002-7654-6902	bcdm	14/09/2025	MIXS	MIXS:v6.3.0	2026-02-11	0.6	Semantically, these terms may have a somewhat related meaning but the expected syntax may be different.
bcdm:inst	bcdm:inst	https://github.com/DNAdiversity/BCDM/blob/main/field_definitions.tsv	skos:exactMatch	MIXS:0001152	MIXS:repository_name	MIxS Core	semapv:ManualMappingCuration	orcid:0009-0004-7916-9833 | orcid:0000-0002-7654-6902	bcdm	14/09/2025	MIXS	MIXS:v6.3.0	2026-02-11	1	Both bubject and object expect the name of the institution storing the specimen, as such, semantically, both are exact matches. However, syntactically, if the sample is not available, the object expects string 'sample not available', wheras the subject details no requirement.
bcdm:taxid	bcdm:taxid	https://github.com/DNAdiversity/BCDM/blob/main/field_definitions.tsv	skos:relatedMatch	MIXS:0001320	MIXS:samp_taxon_id	MIxS Core	semapv:ManualMappingCuration	orcid:0009-0004-7916-9833 | orcid:0000-0002-7654-6902	bcdm	14/09/2025	MIXS	MIXS:v6.3.0	2026-02-11	1	Both bubject and object expect the taxonomy identifier for the specimen. However, the object requires it to be detailed as a NCBI ID, whereas the subject expects the ID according to BOLD taxonomic backbone. However, syntactically, if the sample is not available, the object expects string 'sample not available', wheras the subject details no requirement. Syntactically, there is no association as the values will not be related as they belong to two different systems. Syntactic normalization could be possible with a mapping between differnet taxonomic systems, but, even then, the subject would still have a skos:narrowMatch with the object, as MIxS expects both the taxonomic ID and written nomenclature.
bcdm:kingdom	bcdm:kingdom	https://github.com/DNAdiversity/BCDM/blob/main/field_definitions.tsv	notApplicable				semapv:ManualMappingCuration	orcid:0009-0004-7916-9833	bcdm	14/09/2025	MIXS	MIXS:v6.3.0	2026-02-11		
bcdm:phylum	bcdm:phylum	https://github.com/DNAdiversity/BCDM/blob/main/field_definitions.tsv	notApplicable				semapv:ManualMappingCuration	orcid:0009-0004-7916-9833	bcdm	14/09/2025	MIXS	MIXS:v6.3.0	2026-02-11		
bcdm:class	bcdm:class	https://github.com/DNAdiversity/BCDM/blob/main/field_definitions.tsv	notApplicable				semapv:ManualMappingCuration	orcid:0009-0004-7916-9833	bcdm	14/09/2025	MIXS	MIXS:v6.3.0	2026-02-11		
bcdm:order	bcdm:order	https://github.com/DNAdiversity/BCDM/blob/main/field_definitions.tsv	notApplicable				semapv:ManualMappingCuration	orcid:0009-0004-7916-9833	bcdm	14/09/2025	MIXS	MIXS:v6.3.0	2026-02-11		
bcdm:family	bcdm:family	https://github.com/DNAdiversity/BCDM/blob/main/field_definitions.tsv	notApplicable				semapv:ManualMappingCuration	orcid:0009-0004-7916-9833 | orcid:0000-0002-7654-6902	bcdm	14/09/2025	MIXS	MIXS:v6.3.0	2026-02-11		
